person_name,org_name,pos,verb,viewpoint,person_id,org_id,news_id,sentiment,time,publish_time,original_text
戴旭,,,认为,无论在南海还是台海，明年形势会趋于紧张，是不乐观的。,234462,-1,1517393721441398472,0.9999549018095769,2018-12-08T09:35:03.571Z,2018-12-07T16:00:00.000Z,戴旭认为， 无论在南海还是台海，明年形势会趋于紧张，是不乐观的。“为什么把战场放在南海、台湾呢？如果台海发生紧张，我们也没有必要考虑太多，经济是发展大局，我们肯定要抢救大局。但是一旦机会送到面前，为什么不要呢？所以，形势紧张，反而会加速我们的统一，只不过是解放战争的开头。所以，我们没什么可怕的，做好准备，静观其变，只要战略机遇出现，我们要主动拿下。”
戴旭,,,表达,了一样的观点，认为美国宣扬的“航行自由”就是对中国的挑衅以及对主权的干涉。,234462,-1,5687567749146477065,0.9997031355957764,2018-12-08T09:04:54.135Z,2018-12-08T07:29:00.000Z,　　戴旭在南海问题上表达了一样的观点，认为美国宣扬的“航行自由”就是对中国的挑衅以及对主权的干涉。美国经常说“航行自由”，中国从来没有影响它的航行自由，在国际海域可以航行自由，但在中国的领海是不可以的。“中国的军舰拦截美国军舰的时候，很多人害怕，我不知道害怕什么。我当时跟他们说，美国军舰再到这个地方，建议两条军舰拦住它，一条拦住它，一条撞沉它，在我们的领海，不允许美国的军舰横行。”
,中国,关系,说,要改善经济关系，但是并不在于它忘了仲裁这回事，未来肯定要跟中国谈仲裁问题。,-1,31896,7478831382461606218,0.8607038494700916,2018-12-08T10:20:57.247Z,2018-12-08T06:42:00.000Z,　　[朱锋：南海暗流涌动，比3年前严峻]#2019环球时报年会#在“南海、台海是否会再起烽烟？”这一议题的讨论中，南京大学南海研究协同创新中心执行主任朱锋表示，虽然南海仲裁是一片废纸，但今天的南海局势依然严峻复杂。 第一，东盟国家“法律化”的操作与推动，没有根本改变。菲律宾虽然跟中国关系不错，杜特尔特发言说要改善经济关系，但是并不在于它忘了仲裁这回事，未来肯定要跟中国谈仲裁问题。 第二，南海军事化。美国的军事化比中国更厉害，我们知道，奥巴马两届任期内，美国军舰在南海的自由航行只有4次，但是特朗普上台不到2年，已经有9次了。此外，还有其他一些国家参与，南海的“自由航行”出现多国化。 第三，有些国家表面上跟我们不吵南海问题，但是该干嘛干嘛，还有的国家不承认我们的“九段线”。我觉得南海问题树欲静而风不止，海面下的暗流涌动比3年前更加严峻。（记者 翟亚菲） 
戴旭,,,认为,无论在南海还是台海，明年形势会趋于紧张，是不乐观的。,234462,-1,6256975078250859231,0.9999549018095769,2018-12-08T09:14:56.254Z,2018-12-08T07:07:03.000Z,　　戴旭认为， 无论在南海还是台海，明年形势会趋于紧张，是不乐观的。“为什么把战场放在南海、台湾呢？如果台海发生紧张，我们也没有必要考虑太多，经济是发展大局，我们肯定要抢救大局。但是一旦机会送到面前，为什么不要呢？所以，形势紧张，反而会加速我们的统一，只不过是解放战争的开头。所以，我们没什么可怕的，做好准备，静观其变，只要战略机遇出现，我们要主动拿下。” 
戴旭,,,表达,为什么把战场放在南海、台湾呢？如果台海发生紧张，我们也没有必要考虑太多，经济是发展大局，我们肯定要抢救大局。但是一旦机会送到面前，为什么不要呢？所以，形势紧张，反而会加速我们的统一，只不过是解放战争的开头。所以，我们没什么可怕的，做好准备，静观其变，只要战略机遇出现，我们要主动拿下。一样的观点，认为美国宣扬的“航行自由”就是对中国的挑衅以及对主权的干涉。,234462,-1,2682402529295272250,0.9999999999791651,2018-12-08T09:10:55.334Z,2018-12-08T07:08:00.000Z,
戴旭,,,认为,无论在南海还是台海，明年形势会趋于紧张，是不乐观的。,234462,-1,8694957961557550437,0.9999549018095769,2018-12-08T18:09:46.224Z,2018-12-08T07:22:32.000Z,　　戴旭认为， 无论在南海还是台海，明年形势会趋于紧张，是不乐观的。“为什么把战场放在南海、台湾呢？如果台海发生紧张，我们也没有必要考虑太多，经济是发展大局，我们肯定要抢救大局。但是一旦机会送到面前，为什么不要呢？所以，形势紧张，反而会加速我们的统一，只不过是解放战争的开头。所以，我们没什么可怕的，做好准备，静观其变，只要战略机遇出现，我们要主动拿下。” 
,中国国防部,,表示,中方在南海的原则和立场一贯明确，对于美军机在南海挑衅行为，中国一贯坚决反对，将采取一切必要措施。,-1,32206,6278252142728916962,0.9999733500634345,2018-11-21T04:24:35.267Z,2018-11-21T01:58:00.000Z,
华春莹,外交部,发言人,表示,我们曾经多次问美方或者声称南海航行自由有问题的人，请拿出证据来，证明有哪个国家的哪艘船、哪架飞机、什么时候在南海航行或者飞越时遇到了问题？但到目前为止，没有任何人给出一个明确的答案。由此可见，所谓南海航行与飞越自由根本就是一个不存在的伪命题。中方的立场非常明确，愿与地区国家一道，坚定维护各国依据国际法所享有的真正的航行与飞越自由，同时坚决反对那些打着所谓航行自由的幌子损害南海沿岸国主权与安全利益的行为。,128168,31993,8128360996564316920,0.9999985550899678,2018-11-30T12:47:28.972Z,2018-11-29T16:00:00.000Z,
,美国,海军,说,期间一艘中国军舰“以不安全和不专业的动作”接近美国迪凯特号驱逐舰，最近距离只有大约40米。,-1,31912,4896125014512087213,0.15643492875283527,2018-12-01T11:07:59.737Z,2018-11-30T13:19:32.000Z,
,中国,方面,说,向美国外交提出正式抗议。,-1,31896,8360451852969771239,0.3684708658681316,2018-12-01T02:42:42.268Z,2018-11-29T16:00:00.000Z,　　中国官方表示，中国军队派出了战舰和战机监视美国的军舰，并采取措施驱离美国战舰。中国方面说，向美国外交提出正式抗议。 
